algorithm,seed,scenario,n_vms,n_vms_rejected,total_energy_dc_kj,total_compute_energy_kj,total_cooling_energy_kj,avg_pue,min_pue,max_pue,avg_active_hosts,sla_violation_rate,sla_violations_abs,migration_count
Random,7,high,37,0,3563.2918647714037,2150.2994714645215,1412.9923933068821,1.685077836503942,1.5170599901271697,1.7761950068430052,3.1,0.21666666666666667,13,0
Random,8,high,28,0,3178.19045308486,1884.2673483194535,1293.9231047654055,1.7033036279645053,1.6168811867687298,1.8,2.816666666666667,0.0,0,0
Random,9,high,34,0,3008.117546514655,1803.639366032563,1204.4781804820923,1.704262292663049,1.5260116112473547,1.8,2.6166666666666667,0.05,3,0
D_PABFD,0,high,33,0,3077.6975329979737,1862.27638196109,1215.421151036885,1.6950804020043233,1.5688162834197266,1.8,2.55,0.26666666666666666,16,0
D_PABFD,1,high,42,0,4221.207231234988,2620.695918052764,1600.5113131822245,1.6494782313274712,1.4753008506492868,1.7772712209120998,3.5166666666666666,0.45,27,0
D_PABFD,2,high,43,0,2570.50815957761,1526.4850122909338,1044.023147286675,1.7137238875232297,1.5829272120050069,1.8,2.0833333333333335,0.26666666666666666,16,0
D_PABFD,3,high,38,0,3412.0370983724624,2082.0276578822027,1330.0094404902613,1.6833302602353106,1.4548420731285725,1.8,2.8666666666666667,0.1,6,0
D_PABFD,4,high,30,0,2552.8851134812976,1514.8029295682916,1038.0821839130056,1.7163552300479676,1.5946160286466007,1.8,2.1166666666666667,0.03333333333333333,2,0
D_PABFD,5,high,45,0,4744.993805643458,2984.489741118794,1760.5040645246645,1.6283900287645785,1.4869360241772602,1.7675275176430862,4.0,0.5,30,0
D_PABFD,6,high,39,0,4108.90792466656,2549.59175578643,1559.3161688801265,1.6513786938015074,1.516327819675994,1.8,3.3666666666666667,0.45,27,0
D_PABFD,7,high,37,0,3261.570021591484,1970.2994714645217,1291.270550126963,1.685077836503942,1.5170599901271697,1.7761950068430052,2.6,0.4166666666666667,25,0
D_PABFD,8,high,28,0,2975.5065466425763,1764.2673483194537,1211.2391983231223,1.7033036279645053,1.6168811867687298,1.8,2.4833333333333334,0.08333333333333333,5,0
D_PABFD,9,high,34,0,2847.726169784173,1707.639366032563,1140.0868037516111,1.704262292663049,1.5260116112473547,1.8,2.35,0.03333333333333333,2,0
